Label,is_non_descriptive_label
v0.90.0.RC1,True
v0.90.0.RC2,True
v0.90.1,True
v0.90.10,True
v0.90.11,True
v0.90.12,True
v0.90.13,True
v0.90.14,True
v0.90.2,True
v0.90.3,True
v0.90.4,True
v0.90.5,True
v0.90.6,True
v0.90.7,True
v0.90.8,True
v0.90.9,True
v1.0.0,True
v1.0.0.Beta1,True
v1.0.0.Beta2,True
v1.0.0.RC1,True
v1.0.0.RC2,True
v1.0.1,True
v1.0.2,True
v1.0.3,True
v1.0.4,True
v1.1.0,True
v1.1.1,True
v1.1.2,True
v1.1.3,True
v1.2.0,True
v1.2.1,True
v1.2.2,True
v1.2.3,True
v1.2.4,True
v1.2.5,True
v1.3.0,True
v1.3.1,True
v1.3.10,True
v1.3.2,True
v1.3.3,True
v1.3.4,True
v1.3.5,True
v1.3.6,True
v1.3.7,True
v1.3.8,True
v1.3.9,True
v1.4.0,True
v1.4.0.Beta1,True
v1.4.1,True
v1.4.2,True
v1.4.3,True
v1.4.4,True
v1.4.5,True
v1.5.0,True
v1.5.1,True
v1.5.2,True
v1.5.3,True
v1.6.0,True
v1.6.1,True
v1.6.2,True
v1.6.3,True
v1.7.0,True
v1.7.1,True
v1.7.2,True
v1.7.3,True
v1.7.4,True
v1.7.5,True
v1.7.6,True
v2.0.0,True
v2.0.0-beta1,True
v2.0.0-beta2,True
v2.0.0-rc1,True
v2.0.1,True
v2.0.2,True
v2.0.3,True
v2.1.0,True
v2.1.1,True
v2.1.2,True
v2.1.3,True
v2.2.0,True
v2.2.1,True
v2.2.2,True
v2.3.0,True
v2.3.1,True
v2.3.2,True
v2.3.3,True
v2.3.4,True
v2.3.5,True
v2.3.6,True
v2.4.0,True
v2.4.1,True
v2.4.2,True
v2.4.3,True
v2.4.4,True
v2.4.5,True
v2.4.6,True
v2.4.7,True
v5.0.0,True
v5.0.0-alpha1,True
v5.0.0-alpha2,True
v5.0.0-alpha3,True
v5.0.0-alpha4,True
v5.0.0-alpha5,True
v5.0.0-beta1,True
v5.0.0-rc1,True
v5.0.1,True
v5.0.2,True
v5.0.3,True
v5.1.1,True
v5.1.2,True
v5.1.3,True
v5.2.0,True
v5.2.1,True
v5.2.2,True
v5.2.3,True
v5.3.0,True
v5.3.1,True
v5.3.2,True
v5.3.3,True
v5.4.0,True
v5.4.1,True
v5.4.2,True
v5.4.3,True
v5.4.4,True
v5.5.0,True
v5.5.1,True
v5.5.2,True
v5.5.3,True
v5.5.4,True
v5.6.0,True
v5.6.1,True
v5.6.10,True
v5.6.11,True
v5.6.12,True
v5.6.13,True
v5.6.14,True
v5.6.15,True
v5.6.16,True
v5.6.17,True
v5.6.2,True
v5.6.3,True
v5.6.4,True
v5.6.5,True
v5.6.6,True
v5.6.7,True
v5.6.8,True
v5.6.9,True
v6.0.0,True
v6.0.0-alpha1,True
v6.0.0-alpha2,True
v6.0.0-beta1,True
v6.0.0-beta2,True
v6.0.0-rc1,True
v6.0.0-rc2,True
v6.0.1,True
v6.0.2,True
v6.0.3,True
v6.1.0,True
v6.1.1,True
v6.1.2,True
v6.1.3,True
v6.1.4,True
v6.1.5,True
v6.2.0,True
v6.2.1,True
v6.2.2,True
v6.2.3,True
v6.2.4,True
v6.2.5,True
v6.3.0,True
v6.3.1,True
v6.3.2,True
v6.3.3,True
v6.4.0,True
v6.4.1,True
v6.4.2,True
v6.4.3,True
v6.4.4,True
v6.5.0,True
v6.5.1,True
v6.5.2,True
v6.5.3,True
v6.5.4,True
v6.5.5,True
v6.5.5,True
v6.6.0,True
v6.6.1,True
v6.6.2,True
v6.6.3,True
v6.7.0,True
v6.7.1,True
v6.7.2,True
v6.7.3,True
v6.8.0,True
v6.8.1,True
v6.8.10,True
v6.8.11,True
v6.8.12,True
v6.8.13,True
v6.8.14,True
v6.8.15,True
v6.8.16,True
v6.8.17,True
v6.8.18,True
v6.8.19,True
v6.8.2,True
v6.8.20,True
v6.8.21,True
v6.8.22,True
v6.8.23,True
v6.8.24,True
v6.8.3,True
v6.8.4,True
v6.8.5,True
v6.8.6,True
v6.8.7,True
v6.8.8,True
v6.8.9,True
v7.0.0,True
v7.0.0-beta1,True
v7.0.0-rc1,True
v7.0.0-rc2,True
v7.0.1,True
v7.0.2,True
v7.1.0,True
v7.1.1,True
v7.1.2,True
v7.10.0,True
v7.10.1,True
v7.10.2,True
v7.10.3,True
v7.11.0,True
v7.11.1,True
v7.11.2,True
v7.11.3,True
v7.12.0,True
v7.12.1,True
v7.12.2,True
v7.13.0,True
v7.13.1,True
v7.13.2,True
v7.13.3,True
v7.13.4,True
v7.13.5,True
v7.14.0,True
v7.14.1,True
v7.14.2,True
v7.14.3,True
v7.15.0,True
v7.15.1,True
v7.15.2,True
v7.15.3,True
v7.16.0,True
v7.16.1,True
v7.16.2,True
v7.16.3,True
v7.16.4,True
v7.17.0,True
v7.17.1,True
v7.17.10,True
v7.17.11,True
v7.17.12,True
v7.17.13,True
v7.17.14,True
v7.17.15,True
v7.17.16,True
v7.17.17,True
v7.17.18,True
v7.17.19,True
v7.17.2,True
v7.17.20,True
v7.17.21,True
v7.17.22,True
v7.17.23,True
v7.17.24,True
v7.17.25,True
v7.17.26,True
v7.17.27,True
v7.17.28,True
v7.17.29,True
v7.17.3,True
v7.17.30,True
v7.17.4,True
v7.17.5,True
v7.17.6,True
v7.17.7,True
v7.17.8,True
v7.17.9,True
v7.2.0,True
v7.2.1,True
v7.2.2,True
v7.3.0,True
v7.3.1,True
v7.3.2,True
v7.3.3,True
v7.4.0,True
v7.4.1,True
v7.4.2,True
v7.4.3,True
v7.5.0,True
v7.5.1,True
v7.5.2,True
v7.5.3,True
v7.6.0,True
v7.6.1,True
v7.6.2,True
v7.6.3,True
v7.7.0,True
v7.7.1,True
v7.7.2,True
v7.8.0,True
v7.8.1,True
v7.8.2,True
v7.9.0,True
v7.9.1,True
v7.9.2,True
v7.9.3,True
v7.9.4,True
v8.0.0,True
v8.0.0-alpha1,True
v8.0.0-alpha2,True
v8.0.0-beta1,True
v8.0.0-rc1,True
v8.0.0-rc2,True
v8.0.1,True
v8.0.2,True
v8.1.0,True
v8.1.1,True
v8.1.2,True
v8.1.3,True
v8.1.4,True
v8.10.0,True
v8.10.1,True
v8.10.2,True
v8.10.3,True
v8.10.4,True
v8.10.5,True
v8.11.0,True
v8.11.1,True
v8.11.2,True
v8.11.3,True
v8.11.4,True
v8.11.5,True
v8.12.0,True
v8.12.1,True
v8.12.2,True
v8.12.3,True
v8.13.0,True
v8.13.1,True
v8.13.2,True
v8.13.3,True
v8.13.4,True
v8.13.5,True
v8.14.0,True
v8.14.1,True
v8.14.2,True
v8.14.3,True
v8.14.4,True
v8.15.0,True
v8.15.1,True
v8.15.2,True
v8.15.3,True
v8.15.4,True
v8.15.5,True
v8.15.6,True
v8.16.0,True
v8.16.1,True
v8.16.2,True
v8.16.3,True
v8.16.4,True
v8.16.5,True
v8.16.6,True
v8.16.7,True
v8.17.0,True
v8.17.1,True
v8.17.10,True
v8.17.11,True
v8.17.2,True
v8.17.3,True
v8.17.4,True
v8.17.5,True
v8.17.6,True
v8.17.7,True
v8.17.8,True
v8.17.9,True
v8.18.0,True
v8.18.1,True
v8.18.2,True
v8.18.3,True
v8.18.4,True
v8.18.5,True
v8.18.6,True
v8.18.7,True
v8.18.8,True
v8.18.9,True
v8.19.0,True
v8.19.1,True
v8.19.2,True
v8.19.3,True
v8.19.4,True
v8.19.5,True
v8.19.6,True
v8.19.7,True
v8.19.8,True
v8.19.9,True
v8.2.0,True
v8.2.1,True
v8.2.2,True
v8.2.3,True
v8.2.4,True
v8.20.0,True
v8.3.0,True
v8.3.1,True
v8.3.2,True
v8.3.3,True
v8.3.4,True
v8.4.0,True
v8.4.1,True
v8.4.2,True
v8.4.3,True
v8.4.4,True
v8.5.0,True
v8.5.1,True
v8.5.2,True
v8.5.3,True
v8.5.4,True
v8.6.0,True
v8.6.1,True
v8.6.2,True
v8.6.3,True
v8.7.0,True
v8.7.1,True
v8.7.2,True
v8.8.0,True
v8.8.1,True
v8.8.2,True
v8.8.3,True
v8.9.0,True
v8.9.1,True
v8.9.2,True
v8.9.3,True
v9.0.0,True
v9.0.1,True
v9.0.2,True
v9.0.3,True
v9.0.4,True
v9.0.5,True
v9.0.6,True
v9.0.7,True
v9.0.8,True
v9.0.9,True
v9.1.0,True
v9.1.1,True
v9.1.2,True
v9.1.3,True
v9.1.4,True
v9.1.5,True
v9.1.6,True
v9.1.7,True
v9.1.8,True
v9.1.9,True
v9.2.0,True
v9.2.1,True
v9.2.2,True
v9.2.3,True
v9.3.0,True
WIP,True
won't fix,True
