Label,is_non_descriptive_label
module: PrivateUse1,
module: protobuf,
module: ProxyTensor,
module: pruning,
module: pt2 accuracy,
module: pt2 optimizer,
module: pt2-dispatcher,
module: pybind,
module: python array api,
module: python dispatcher,
module: python frontend,
module: python version,
module: pytree,
module: random,
module: reductions,
module: regression,
module: reinplacing,
module: risc-v,
module: rnn,
module: rocm,
module: rpc,
module: safe resize,
module: sanitizers,
module: scatter & gather ops,
module: scientific computing,
module: scipy compatibility,
module: sdpa,
module: selective build,
module: serialization,
module: shape checking,
module: single threaded,
module: sleef,
module: sorting and selection,
module: sparse,
module: special,
module: static linking,
module: structured kernels,
module: symm_mem,
module: tbb,
module: tensor creation,
module: tensorboard,
module: tensorflow,
module: TensorIterator,
module: tensorpipe,
module: testing,
module: tests,
module: tf32,
module: third_party,
module: threaded pg,
module: torchbind,
module: trace,
module: trigonometric functions,
module: type promotion,
module: typing,
module: undefined reference,
module: unknown,
module: unsigned int,
module: user triton,
module: ux,
module: vectorization,
module: viewing and reshaping,
module: vision,
module: vllm,
module: vmap,
module: vulkan,
module: windows,
module: wsl,
module: xla,
module: xnnpack,
module: xpu,
months,True
needs design,True
needs reproduction,True
needs research,True
new-layer,
newcomer,True
NNC,
no-delete-branch,True
no-runner-experiments,True
no-scrub,True
no-stale,True
not4land,
oncall: cpu inductor,
oncall: distributed,
oncall: distributed checkpointing,
oncall: export,
oncall: fx,
oncall: java,
oncall: jit,
oncall: mobile,
oncall: package/deploy,
oncall: profiler,
oncall: pt2,
oncall: quantization,
oncall: r2p,
oncall: releng,
oncall: speech_infra,
oncall: visualization,
onnx-needs-import,True
onnx-needs-info,True
onnx-triaged,True
op-bench,
open source,
OSS contribution wanted,True
page-feedback,
patch release triage,True
pipeline parallelism,
postmortem,True
pre_dispatch tracing,
production-ecosystem,
proposal accepted,True
pt_distributed_rampup,
pt2-pass-rate-regression,
pt2: numerics-discrepancy,
pt2: ubn,
pt2d-triage-nov2024,True
python,
pytorchbenchmark-false-positive,
quansight-approved,
quansight-nack,
quantization_release_1.3,True
ready for review (this tag is deprecated),True
recompilations,
release notes: AO frontend,
release notes: AO Pruning,
release notes: aotdispatcher,
release notes: autograd,
release notes: benchmark,
release notes: build,
release notes: complex,
release notes: composability,
release notes: context parallel,
release notes: cpp,
release notes: cpu (aarch64),
release notes: cpu (x86),
release notes: cuda,
release notes: cudnn,
release notes: dataloader,
release notes: DeviceMesh,
release notes: devx,
release notes: distributed (c10d),
release notes: distributed (checkpoint),
release notes: distributed (composable),
release notes: distributed (ddp),
release notes: distributed (dtensor),
release notes: distributed (fsdp),
release notes: distributed (fsdp2),
release notes: distributed (miscellaneous),
release notes: distributed (pipeline),
release notes: distributed (rpc),
release notes: distributed (sharded),
release notes: distributed (symm_mem),
release notes: distributed (tools),
release notes: distributed (torchelastic),
release notes: dynamo,
release notes: export,
release notes: foreach_frontend,
release notes: fx,
release notes: indexing,
release notes: inductor,
release notes: inductor (aoti),
release notes: intel,
release notes: jit,
release notes: lazy,
release notes: linalg_frontend,
release notes: memory format,
release notes: Meta API,
release notes: mobile,
release notes: mps,
release notes: nested tensor,
release notes: nn,
release notes: not needed,
release notes: onnx,
release notes: optim,
release notes: optimizer,
release notes: package/deploy,
release notes: profiler,
release notes: python_frontend,
release notes: quantization,
release notes: releng,
release notes: rocm,
release notes: sparse,
release notes: torch.func,
release notes: visualization,
release notes: vulkan,
release notes: xpu,
release tracker,
release_notes: distributed,
release-feature-request,
Reverted,
rocm,
rocm priority,
rocm-skipped-tests,
ruby,
security,
shadow review,
sharded_tensor,
skip-pr-sanity-checks,
skip-url-lint,
skipped,True
small,True
sphinx-theme-feedback,
Stale,
suppress-api-compatibility-check,
suppress-bc-linter,
tensor subclass,
test-config/asan,
test-config/backwards_compat,
test-config/crossref,
test-config/default,
test-config/deploy,
test-config/distributed,
test-config/docs_test,
test-config/dynamo,
test-config/executorch,
test-config/force_on_cpu,
test-config/functorch,
test-config/inductor,
test-config/inductor_torchbench,
test-config/inductor_torchbench_smoketest_perf,
test-config/inductor-micro-benchmark,
test-config/inductor-micro-benchmark-cpu-x86,
test-config/jit_legacy,
test-config/mps,
test-config/multigpu,
test-config/nogpu_AVX512,
test-config/perf_smoketest,
test-config/pr_time_benchmarks,
test-config/slow,
test-config/smoke,
test-config/tsan,
test-config/xla,
todo,True
topic: bc breaking,
topic: binaries,
topic: bug fixes,
topic: build,
topic: deprecation,
topic: devs,
topic: docs,
topic: fuzzer,
topic: improvements,
topic: inductor halide backend,
topic: new features,
topic: not user facing,
topic: performance,
topic: security,
tracker,
triage review,True
triaged,True
TSConverter,
TSRootCause:BetterEngineering,
TSRootCause:DefaultTypes,
