Label,is_non_descriptive_label
F-cfg_select,
F-cfg_version,
F-check-cfg,
F-closure_lifetime_binder,
F-cmse_nonsecure_entry,
F-coerce_unsized,
F-collapse_debuginfo,
F-const_async_blocks,
F-const_closures,
F-const_extern_fn,
F-const_generics,
F-const_generics_defaults,
F-const_heap,
F-const_mut_refs,
F-const_refs_to_cell,
F-const_refs_to_static,
F-const_trait_impl,
F-context_ext,
F-contracts,
F-core_intrinsics,
F-core_pattern_type,
F-core_pattern_types,
F-coroutine_clone,
F-coroutines,
F-coverage-mcdc,
F-cstr_display,
F-custom_test_frameworks,
F-darwin_objc,
F-debugger_visualizer,
F-decl_macro,
F-default_field_values,
F-default_type_parameter_fallback,
F-deprecated_safe,
F-deref_patterns,
F-derive_coerce_pointee,
F-derive_from,
F-destructuring_assignment,
F-dispatch_from_dyn,
F-doc_auto_cfg,
F-doc_cfg,
F-doc_masked,
F-dropck_eyepatch,
F-dyn_compatible_for_dispatch,
F-dyn_star,
F-effects,
F-ergonomic_clones,
F-exclusive_range_pattern,
F-exhaustive_patterns,
F-explicit_extern_abis,
F-explicit_tail_calls,
F-export_executable_symbols,
F-export_stable,
F-extended_key_value_attributes,
F-extended_varargs_abi_support,
F-extern_item_impls,
F-extern_types,
F-external_doc,
F-externally_constructed_attr,
F-f16_and_f128,
F-field_projections,
F-float_semantics,
F-fmt_debug,
F-fn_align,
F-fn_delegation,
F-format_implicit_args,
F-freeze,
F-frontmatter,
F-fundamental,
F-gen_blocks,
F-generic_arg_infer,
F-generic_assert,
F-generic_associated_types,
F-generic_associated_types_extended,
F-generic_const_exprs,
F-generic_const_items,
F-generic_const_parameter_types,
F-global_registration,
F-gpu_offload,
F-guard_patterns,
F-half_open_range_patterns,
F-if_let_guard,
F-impl_restriction,
F-impl_trait_in_assoc_type,
F-impl_trait_in_bindings,
F-impl_trait_in_fn_trait_return,
F-import_trait_associated_functions,
F-inherent_associated_types,
F-inline_const,
F-inline_const_pat,
F-isa_attribute,
F-label_break_value,
F-lazy_type_alias,
F-let_chains,
F-let_else,
F-lifetime_capture_rules_2024,
F-linkage,
F-lint_reasons,
F-linux_pidfd,
F-loop_match,
F-macro_metavar_expr,
F-macro_metavar_expr_concat,
F-marker_trait_attr,
F-min_exhaustive_patterns,
F-min_generic_const_args,
F-min_specialization,
F-mixed_utf8_literals,
F-more_qualified_paths,
F-move_ref_pattern,
F-mut_restriction,
F-naked_functions,
F-naked_functions_target_feature,
F-native_link_modifiers_as_needed,
F-negative_impls,
F-never_patterns,
F-never_type,
F-new_range,
F-no_core,
F-non_ascii_idents,
F-non_exhaustive,
F-non_exhaustive_omitted_patterns_lint,
F-non_lifetime_binders,
F-offset_of,
F-offset_of_enum,
F-offset_of_nested,
F-offset_of_slice,
F-on_unimplemented,
F-optimize_attribute,
F-or_patterns,
F-packed_bundled_libs,
F-param_attrs,
F-patchable_function_entry,
F-pattern_types,
F-pin_ergonomics,
F-postfix_match,
F-precise_capturing,
F-precise_capturing_in_traits,
F-precise_capturing_of_types,
F-proc_macro_diagnostic,
F-proc_macro_expand,
F-proc_macro_quote,
F-ptr_metadata,
F-pub_macro_rules,
F-public_private_dependencies,
F-raw_dylib,
F-raw_ref_op,
F-re_rebalance_coherence,
F-reborrow,
F-refine,
F-register_tool,
F-relaxed_struct_unsize,
F-relink_dont_rebuild,
F-reserved_prefixes,
F-return_position_impl_trait_in_trait,
F-return_type_notation,
F-rust_2018_preview,
F-rust_cold_cc,
F-rustc_attrs,
F-s390x_target_feature_vector,
F-scalable-vectors,
F-shorter_tail_lifetimes,
F-simd_ffi,
F-sized_hierarchy,
F-sleep_until,
F-slice_patterns,
F-specialization,
F-staged_api,
F-static_align,
F-stdarch_aarch64_mte,
F-stdarch_x86_avx512,
F-stmt_expr_attributes,
F-string_from_utf8_lossy_owned,
F-struct_target_features,
F-super_let,
F-supertrait_item_shadowing,
F-target_feature_11,
F-target_modifiers,
F-thread_local,
F-thread_spawn_hook,
F-track_caller,
F-trait_alias,
F-trait_upcasting,
F-transmutability,
F-trim-paths,
F-trivial_bounds,
F-try_blocks,
F-try_trait_v2,
F-type_alias_impl_trait,
F-type_ascription,
F-type-changing-struct-update,
F-unboxed_closures,
F-unix_socket_ancillary_data,
F-unnamed_fields,
F-unprefixed_guarded_strings,
F-unsafe_attributes,
F-unsafe_binders,
F-unsafe_extern_blocks,
F-unsafe_fields,
F-unsafe_pinned,
F-unsafe-block-in-unsafe-fn,
F-unsized_const_params,
F-unsized_fn_params,
F-unsized_locals,
F-untagged_unions,
F-used_with_arg,
F-variant_count,
F-wasi_ext,
F-wasip2,
F-where_clause_attrs,
F-with_negative_coherence,
final-comment-period,
finished-final-comment-period,
fixed-by-async-closures,
fixed-by-const-generics,
fixed-by-effects,
fixed-by-higher-ranked-assumptions,
fixed-by-mergable-cross-crate-info,
fixed-by-next-solver,
fixed-by-NLL,
fixed-by-polonius,
fixed-by-TAIT,
fixed-by-thir-unsafeck,
glacier,
has-merge-commits,True
I-async-nominated,
I-bootstrap-nominated,
I-cargo-nominated,
I-compilemem,
I-compiler-nominated,
I-compiletime,
I-crash,
I-cycle,
I-edition-nominated,True
I-edition-triaged,True
I-flaky-test,
I-fls-nominated,
I-hang,
I-heavy,
I-ICE,
I-lang-bikeshed,
I-lang-docs-nominated,
I-lang-easy-decision,
I-lang-nominated,
I-lang-radar,
I-libs-api-nominated,
I-libs-nominated,
I-llvm-error,
I-memleak,
I-miscompile,
I-monomorphization,
I-needs-decision,True
I-prioritize,True
I-release-nominated,True
I-slow,
I-spec-nominated,
I-style-nominated,
I-types-nominated,
I-unsound,
L-abi_unsupported_vector_types,
L-ambiguous_glob_reexports,
L-arithmetic_overflow,
L-array_into_iter,
L-binary_asm_labels,
L-break_with_label_and_loop,
L-conflicting_repr_hint,
L-confusable_idents,
L-dangerous_implicit_autorefs,
L-dangling_pointers_from_temporaries,
L-dead_code,
L-dependency_on_unit_never_type_fallback,
L-deprecated,
L-double_negations,
L-dropping_copy_types,
L-elided_lifetimes_in_associated_constant,
L-elided_lifetimes_in_paths,
L-explicit_outlives_requirements,
L-exported_private_dependencies,
L-false-negative,
L-false-positive,
L-for_loops_over_fallibles,
L-hidden_glob_reexports,
L-if_let_rescope,
L-impl_trait_overcaptures,
L-improper_ctypes,
L-improper_ctypes_definitions,
L-invalid_nan_comparisons,
L-invalid_null_arguments,
L-invalid_reference_casting,
L-invalid_value,
L-irrefutable_let_patterns,
L-keyword_idents,
L-keyword_idents_2018,
L-keyword_idents_2024,
L-large_assignments,
L-late_bound_lifetime_arguments,
L-let_underscore_drop,
L-linker_messages,
L-macro_use_extern_crate,
L-mismatched_lifetime_syntaxes,
L-missing_abi,
L-missing_copy_implementations,
L-missing_docs,
L-missing_unsafe_on_extern,
L-never_type_fallback_flowing_into_unsafe,
L-non_camel_case_types,
L-non_local_definitions,
L-non_snake_case,
L-out_of_scope_macro_calls,
L-overflowing_literals,
L-path_statements,
L-private_bounds,
L-private_interfaces,
L-private_macro_use,
L-public_private_dependencies,
L-redundant_imports,
L-redundant_semicolons,
L-refining_impl_trait,
L-repr_transparent_external_private_fields,
L-rust_2021_incompatible_closure_captures,
L-rust_2024_incompatible_pat,
L-semicolon_in_expressions_from_macros,
L-single_use_lifetimes,
L-special_module_name,
L-static_mut_refs,
L-suspicious_double_ref_op,
L-tail_expr_drop_order,
L-text_direction_codepoint_in_literal,
L-trivial_bounds,
L-type_alias_bounds,
L-uncommon_codepoints,
L-unconditional_panic,
L-unconditional_recursion,
L-uncovered_param_in_projection,
L-unexpected_cfgs,
L-unit_bindings,
L-unknown_lints,
L-unknown_or_malformed_diagnostic_attributes,
L-unnameable_test_items,
L-unnameable_types,
L-unnecessary_transmutes,
L-unpredictable_function_pointer_comparisons,
L-unreachable_code,
L-unreachable_patterns,
L-unreachable_pub,
L-unsafe_attr_outside_unsafe,
L-unsafe_code,
L-unsafe_op_in_unsafe_fn,
L-unused_allocation,
L-unused_assignments,
L-unused_associated_type_bounds,
L-unused_attributes,
L-unused_braces,
L-unused_crate_dependencies,
L-unused_doc_comments,
L-unused_extern_crates,
L-unused_features,
L-unused_imports,
L-unused_lifetimes,
L-unused_must_use,
L-unused_mut,
L-unused_parens,
L-unused_qualifications,
L-unused_variables,
Libs-Small,
Libs-Tracked,
llvm-fixed-upstream,True
llvm-main,
merged-by-bors,True
metabug,
needs-acp,True
needs-crater,True
needs-fcp,True
needs-mcp,True
needs-rfc,True
needs-triage,True
NLL-complete,True
NLL-diagnostics,
NLL-performant,
NLL-polonius,
NLL-reference,
NLL-sound,
O-AArch64,
O-aarch64-pc-windows-msvc,
O-aarch64-unknown-linux-musl,
O-aix,
O-amdgcn,
O-android,
O-apple,
O-Arm,
O-arm64ec-pc-windows-msvc,
O-asmjs,
O-AVR,
O-bare-metal,
O-csky,
O-cygwin,
O-dragonfly,
O-eBPF,
O-emscripten,
O-ESP-IDF,
O-freebsd,
O-fuchsia,
O-guix,
O-haiku,
O-hermit,
O-hurd,
O-illumos,
O-ios,
